SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 13-Jun-2019,36.7,37.35,37.35,36.15,36.55,36.55,36.56,15882,5.81,256,8521,53.65
21STCENMGM, EQ, 13-Jun-2019,17.85,18.2,18.2,17.6,17.6,17.6,18.18,835,0.15,11,534,63.95
3IINFOTECH, EQ, 13-Jun-2019,3.5,3.5,3.55,3.4,3.5,3.45,3.46,618873,21.43,375,335515,54.21
3MINDIA, EQ, 13-Jun-2019,22439.25,22360,22799.95,22300,22340,22365.9,22390.51,722,161.66,328,448,62.05
3PLAND, BE, 13-Jun-2019,9.9,10.35,10.35,9.5,9.6,9.6,9.76,425,0.04,5, -, -
5PAISA, EQ, 13-Jun-2019,210.15,213.95,213.95,208,211.8,210.65,211.07,3988,8.42,176,2442,61.23
63MOONS, EQ, 13-Jun-2019,118.45,119.45,124.35,115.75,124.35,123.95,121.41,297144,360.76,5553,101572,34.18
8KMILES, EQ, 13-Jun-2019,90.4,90.1,91.3,87.8,88.15,88.85,89.16,69376,61.85,1276,26974,38.88
A2ZINFRA, EQ, 13-Jun-2019,14.85,14.4,14.95,14.3,14.75,14.7,14.61,83866,12.25,399,57144,68.14
AAKASH, SM, 13-Jun-2019,23,23.2,23.2,23.2,23.2,23.2,23.2,2000,0.46,1,2000,100
AARON, SM, 13-Jun-2019,47.5,47.5,47.5,47.5,47.5,47.5,47.5,3000,1.43,1,3000,100
AARTIDRUGS, EQ, 13-Jun-2019,560.25,557.55,560.95,547,550,550.05,552.86,4628,25.59,385,3580,77.36
AARTIIND, EQ, 13-Jun-2019,1736,1740,1742.7,1718.35,1734.9,1730.35,1726.7,86543,1494.34,5332,72129,83.34
AARVEEDEN, EQ, 13-Jun-2019,22.9,23.45,23.7,21.4,23,22.9,22.38,6232,1.39,115,2656,42.62
AAVAS, EQ, 13-Jun-2019,1450.1,1463,1464,1428.25,1449,1440.4,1450.39,22266,322.94,3609,14890,66.87
ABAN, BE, 13-Jun-2019,43.75,43.75,43.9,42,43.85,43.05,42.71,42790,18.28,599, -, -
ABB, EQ, 13-Jun-2019,1506.55,1510,1554,1502,1504.1,1508.85,1520.82,221283,3365.31,8822,115866,52.36
ABBOTINDIA, EQ, 13-Jun-2019,8609.75,8680,8698.8,8501.25,8552,8560.65,8595.33,3928,337.62,840,2373,60.41
ABCAPITAL, EQ, 13-Jun-2019,96.4,96.4,97.3,94.25,95,95,95.22,1270635,1209.85,15328,736529,57.97
ABFRL, EQ, 13-Jun-2019,217.8,216.85,218.7,212.5,212.7,213.9,215.49,421670,908.65,8109,274335,65.06
ABSLNN50ET, EQ, 13-Jun-2019,274.7,272,272.91,272,272,272,272.2,112,0.3,8,107,95.54
ACC, EQ, 13-Jun-2019,1579.05,1577,1585.5,1564,1585,1583.15,1574.77,482531,7598.75,17646,81519,16.89
ACCELYA, EQ, 13-Jun-2019,897.75,887.1,902,885,889.15,891.85,895.37,2132,19.09,288,1518,71.2
ACE, EQ, 13-Jun-2019,103.95,104,105.5,103.2,103.4,103.8,104.12,148219,154.33,2214,75639,51.03
ADANIENT, EQ, 13-Jun-2019,153.2,153.2,158.85,149,152.35,153.1,153.24,7968656,12211.21,41879,963215,12.09
ADANIGAS, EQ, 13-Jun-2019,169.6,169.95,171.95,166.4,168.7,168.75,169.01,461180,779.46,4554,155344,33.68
ADANIGREEN, EQ, 13-Jun-2019,43.15,43.3,43.7,42.1,43.2,43.4,43.09,878605,378.58,3427,441897,50.3
ADANIPORTS, EQ, 13-Jun-2019,424.95,424,426.3,422.5,424.6,424.95,424.7,2925612,12425.02,36596,1512951,51.71
ADANIPOWER, EQ, 13-Jun-2019,49.1,49,49.15,46.75,48.35,48.35,48.08,8790669,4226.47,21004,1135617,12.92
ADANITRANS, EQ, 13-Jun-2019,222.95,223.5,239.8,222,234,234.5,233.24,295373,688.92,6223,141554,47.92
ADFFOODS, EQ, 13-Jun-2019,293.15,293,301.05,290.65,292.9,295.2,295.97,37961,112.35,1079,18039,47.52
ADHUNIK, BE, 13-Jun-2019,1.7,1.65,1.7,1.65,1.65,1.65,1.66,38254,0.63,30, -, -
ADHUNIKIND, EQ, 13-Jun-2019,85.55,85.6,86.25,84,85.5,84.45,85.13,16911,14.4,170,7893,46.67
ADLABS, EQ, 13-Jun-2019,6.2,6.2,6.2,5.8,6,6,5.98,96565,5.78,242,64845,67.15
ADORWELD, EQ, 13-Jun-2019,349.1,349.9,350.4,338.2,339.35,340.45,343.24,1354,4.65,139,767,56.65
ADROITINFO, BE, 13-Jun-2019,12.15,11.55,11.6,11.55,11.55,11.55,11.55,15303,1.77,16, -, -
ADSL, EQ, 13-Jun-2019,15.85,16.85,16.85,15.35,15.9,15.85,15.85,8160,1.29,48,5385,65.99
ADVANIHOTR, EQ, 13-Jun-2019,63.1,62.65,62.65,60.55,61,61.2,61.62,5026,3.1,119,3567,70.97
ADVENZYMES, EQ, 13-Jun-2019,193.7,192.25,192.7,183.05,185.5,185.55,185.86,136591,253.87,2029,69170,50.64
AEGISCHEM, EQ, 13-Jun-2019,219.5,220.1,228.8,217.4,228.75,226.65,224.8,143428,322.42,12803,95896,66.86
AGARIND, EQ, 13-Jun-2019,146.2,143.45,149.5,138.95,139.1,142.4,142.92,11070,15.82,227,6891,62.25
AGCNET, EQ, 13-Jun-2019,110.05,110.15,111.85,110,110,110,110.08,2707,2.98,36,2284,84.37
AGLSL, EQ, 13-Jun-2019,55,56.95,57,54,54,54,55.06,1261,0.69,16,1212,96.11
AGRITECH, EQ, 13-Jun-2019,53.25,54.85,55.95,52.55,53.6,53.75,53.68,11926,6.4,332,6631,55.6
AGROPHOS, BE, 13-Jun-2019,83.95,84.9,87.9,84,87.9,86.85,86.02,53810,46.29,215, -, -
AHLEAST, EQ, 13-Jun-2019,193.5,196,197.9,193,197.85,197.85,194.91,98,0.19,22,77,78.57
AHLUCONT, EQ, 13-Jun-2019,332.1,330.75,339,318.1,335,335.45,329.77,6520,21.5,511,3738,57.33
AHLWEST, EQ, 13-Jun-2019,339.65,340,340,336.25,340,340,339.21,823,2.79,52,678,82.38
AIAENG, EQ, 13-Jun-2019,1828.5,1832.2,1839,1770,1770,1778.55,1788.69,11361,203.21,1682,6996,61.58
AIFL, BZ, 13-Jun-2019,4.35,4.15,4.15,4.15,4.15,4.15,4.15,10044,0.42,12, -, -
AIONJSW, EQ, 13-Jun-2019,19.05,19.05,19.8,18.65,18.75,18.9,19.22,25389,4.88,131,20069,79.05
AIRAN, EQ, 13-Jun-2019,29.6,29,29.95,28.5,29.05,29,29.14,2530,0.74,36,2046,80.87
AIROLAM, SM, 13-Jun-2019,30,32,32,32,32,32,32,3000,0.96,1,3000,100
