SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 18-Jun-2019, 34.95, 35.00, 36.50, 35.00, 35.60, 35.90, 35.71, 22499, 8.04, 243, 16203, 71.57
21STCENMGM, EQ, 18-Jun-2019, 17.85, 17.50, 18.20, 17.50, 18.20, 18.20, 18.12, 95, 0.02, 8, 95, 100.00
3IINFOTECH, EQ, 18-Jun-2019, 3.30, 3.30, 3.35, 3.25, 3.25, 3.30, 3.31, 759597, 25.14, 481, 421918, 51.95
3MINDIA, EQ, 18-Jun-2019, 22218.95, 22218.00, 22360.00, 22000.00, 22005.00, 22030.85, 22151.74, 675, 149.52, 319, 407, 54.93
3PLAND, BE, 18-Jun-2019, 9.25, 8.80, 9.15, 8.80, 8.90, 8.90, 8.90, 1682, 0.15, 12, -, -
5PAISA, EQ, 18-Jun-2019, 205.50, 204.55, 208.95, 200.00, 200.00, 201.45, 203.99, 2864, 5.84, 307, 1923, 63.38
63MOONS, EQ, 18-Jun-2019, 122.10, 122.75, 124.50, 116.00, 116.00, 116.30, 120.34, 119546, 143.86, 1459, 59387, 35.83
8KMILES, EQ, 18-Jun-2019, 79.55, 78.00, 79.00, 72.55, 74.90, 74.15, 75.86, 116845, 88.64, 2095, 55298, 39.42
A2ZINFRA, EQ, 18-Jun-2019, 14.40, 14.80, 16.00, 14.20, 14.50, 14.35, 14.67, 130022, 19.07, 579, 78635, 54.71
AARON, SM, 18-Jun-2019, 48.00, 47.10, 47.10, 45.10, 45.90, 45.90, 46.03, 9000, 4.14, 3, 9000, 100.00
AARTIDRUGS, EQ, 18-Jun-2019, 528.20, 532.40, 532.40, 520.00, 524.05, 524.85, 523.04, 5854, 30.62, 452, 4020, 63.75
AARTIIND, EQ, 18-Jun-2019, 1703.40, 1700.00, 1733.00, 1690.55, 1732.00, 1730.25, 1705.28, 172555, 2942.54, 8556, 147665, 85.06
AARVEEDEN, EQ, 18-Jun-2019, 22.60, 22.25, 22.30, 21.40, 21.40, 21.70, 21.81, 5852, 1.28, 139, 5097, 66.26
AAVAS, EQ, 18-Jun-2019, 1459.75, 1470.00, 1563.50, 1459.05, 1500.00, 1499.75, 1511.00, 219583, 3317.90, 17209, 171301, 75.85
