SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 21-Jun-2019, 35.55, 35.90, 37.25, 34.65, 34.65, 35.20, 35.79, 19796, 7.09, 400, 10509, 53.09
21STCENMGM, EQ, 21-Jun-2019, 17.85, 17.85, 18.00, 17.85, 18.00, 18.00, 17.99, 695, 0.13, 6, 695, 100.00
3IINFOTECH, EQ, 21-Jun-2019, 3.25, 3.25, 3.30, 3.20, 3.30, 3.30, 3.26, 1487056, 48.43, 384, 792209, 53.27
3MINDIA, EQ, 21-Jun-2019, 22654.65, 22781.50, 23700.00, 22650.00, 23500.00, 23529.60, 23346.19, 4380, 1022.56, 2363, 2969, 67.79
3PLAND, BE, 21-Jun-2019, 8.50, 8.90, 8.90, 8.40, 8.40, 8.40, 8.41, 52, 0.00, 3, -, -
5PAISA, EQ, 21-Jun-2019, 208.65, 203.30, 215.00, 203.30, 210.00, 206.80, 208.49, 6731, 14.03, 288, 4500, 66.85
63MOONS, EQ, 21-Jun-2019, 111.40, 111.65, 116.95, 110.00, 116.95, 116.70, 115.69, 169533, 196.13, 2213, 52530, 30.99
8KMILES, EQ, 21-Jun-2019, 73.20, 76.85, 76.85, 75.10, 76.85, 76.85, 76.79, 48074, 36.91, 243, 31144, 64.78
A2ZINFRA, EQ, 21-Jun-2019, 13.10, 13.15, 14.40, 12.55, 12.95, 13.05, 13.32, 332041, 44.23, 1464, 136733, 41.18
AARON, SM, 21-Jun-2019, 46.00, 47.00, 47.00, 47.00, 47.00, 47.00, 47.00, 3000, 1.41, 1, 3000, 100.00
AARTIDRUGS, EQ, 21-Jun-2019, 524.40, 524.00, 528.55, 508.30, 515.20, 516.35, 520.67, 7134, 37.14, 744, 3879, 54.37
AARTIIND, EQ, 21-Jun-2019, 1724.00, 1730.10, 1777.10, 1714.50, 1772.05, 1764.40, 1748.04, 85207, 1489.46, 9402, 66342, 77.86
AARVEEDEN, EQ, 21-Jun-2019, 21.55, 21.65, 21.70, 20.60, 21.45, 21.05, 20.76, 1506, 0.31, 34, 1280, 84.99
AAVAS, EQ, 21-Jun-2019, 1493.05, 1505.00, 1508.00, 1411.50, 1447.80, 1451.05, 1450.65, 638771, 9266.34, 20559, 614307, 96.17
ABAN, BE, 21-Jun-2019, 33.65, 32.05, 35.30, 32.05, 35.30, 35.30, 34.64, 93753, 32.48, 732, -, -
ABB, EQ, 21-Jun-2019, 1566.95, 1566.00, 1577.50, 1531.10, 1554.10, 1559.05, 1555.94, 109088, 1697.35, 9260, 62748, 57.52
ABBOTINDIA, EQ, 21-Jun-2019, 8419.95, 8402.00, 8550.00, 8350.00, 8535.00, 8504.15, 8462.44, 1964, 166.20, 559, 1074, 54.68
ABCAPITAL, EQ, 21-Jun-2019, 92.15, 92.40, 94.40, 90.85, 94.10, 93.45, 92.87, 1083985, 1006.72, 19976, 518659, 47.85
ABFRL, EQ, 21-Jun-2019, 204.75, 204.90, 212.00, 201.40, 211.70, 210.35, 207.26, 204885, 424.65, 5175, 109883, 53.63
ABSLFTSLRG, MF, 21-Jun-2019, 10.00, 9.97, 9.97, 9.97, 9.97, 9.97, 9.97, 10000, 1.00, 1, 10000, 100.00
ABSLNN50ET, EQ, 21-Jun-2019, 267.00, 267.20, 270.78, 267.20, 270.78, 270.78, 267.40, 107, 0.29, 5, 100, 93.46
ACC, EQ, 21-Jun-2019, 1539.75, 1539.90, 1546.80, 1516.10, 1529.00, 1532.45, 1531.66, 507105, 7767.11, 21516, 124267, 24.51
ACCELYA, EQ, 21-Jun-2019, 880.60, 880.60, 884.85, 872.00, 879.00, 878.25, 877.37, 1108, 9.72, 219, 778, 70.22
ACE, EQ, 21-Jun-2019, 95.40, 95.40, 96.95, 93.80, 94.60, 94.35, 95.27, 176765, 168.40, 3634, 60424, 34.18
ADANIENT, EQ, 21-Jun-2019, 148.45, 147.00, 152.00, 145.95, 146.00, 146.80, 148.53, 4673136, 6941.18, 24867, 917213, 19.63
ADANIGAS, EQ, 21-Jun-2019, 158.35, 158.35, 162.85, 156.50, 159.05, 159.45, 160.28, 683080, 1094.86, 10893, 244740, 35.83
ADANIGREEN, EQ, 21-Jun-2019, 40.95, 41.25, 42.15, 40.60, 41.05, 41.25, 41.46, 544866, 225.90, 2789, 198022, 36.34
ADANIPORTS, EQ, 21-Jun-2019, 401.20, 402.15, 407.65, 397.65, 402.55, 402.00, 402.59, 4710025, 18962.11, 46501, 2014166, 42.76
ADANIPOWER, EQ, 21-Jun-2019, 47.50, 47.50, 48.50, 46.90, 48.10, 47.90, 47.72, 7305311, 3486.11, 14082, 1843226, 25.23
ADANITRANS, EQ, 21-Jun-2019, 211.25, 211.00, 230.40, 210.95, 229.70, 225.15, 222.05, 171685, 381.23, 4370, 87167, 50.77
ADFFOODS, EQ, 21-Jun-2019, 279.10, 273.65, 279.45, 270.00, 270.00, 270.45, 271.89, 23144, 62.93, 697, 16399, 70.86
ADHUNIK, BE, 21-Jun-2019, 1.45, 1.40, 1.50, 1.40, 1.45, 1.40, 1.44, 40991, 0.59, 32, -, -
ADHUNIKIND, EQ, 21-Jun-2019, 78.80, 76.00, 80.00, 72.00, 73.50, 73.25, 74.62, 39477, 29.46, 198, 27807, 70.44
ADLABS, EQ, 21-Jun-2019, 4.00, 4.20, 4.40, 3.90, 4.40, 4.40, 4.25, 119588, 5.08, 309, 86268, 72.14
ADORWELD, EQ, 21-Jun-2019, 333.40, 329.05, 342.00, 329.00, 338.00, 336.15, 335.07, 3069, 10.28, 246, 1139, 37.11
ADROITINFO, BE, 21-Jun-2019, 9.80, 9.80, 9.80, 9.80, 9.80, 9.80, 9.80, 338, 0.03, 6, -, -
ADSL, EQ, 21-Jun-2019, 15.60, 16.50, 16.50, 15.10, 15.70, 15.75, 15.66, 6569, 1.03, 58, 3581, 54.51
ADVANIHOTR, EQ, 21-Jun-2019, 58.75, 58.05, 59.45, 58.00, 58.50, 58.55, 58.83, 4480, 2.64, 42, 4297, 95.92
ADVENZYMES, EQ, 21-Jun-2019, 173.85, 173.00, 173.80, 169.80, 170.70, 170.90, 171.17, 110134, 188.52, 1223, 73382, 66.63
AEGISCHEM, EQ, 21-Jun-2019, 210.30, 209.00, 213.50, 208.00, 210.55, 209.60, 211.85, 57054, 120.87, 2021, 27088, 47.48
AGARIND, EQ, 21-Jun-2019, 100.75, 102.00, 110.80, 101.95, 110.80, 110.80, 107.70, 16457, 17.72, 371, 8593, 52.21
AGCNET, EQ, 21-Jun-2019, 111.15, 110.00, 113.75, 110.00, 110.50, 112.10, 110.89, 3432, 3.81, 150, 1469, 42.80
AGLSL, EQ, 21-Jun-2019, 54.20, 53.80, 57.00, 53.80, 56.00, 56.20, 55.88, 8110, 4.53, 88, 7805, 96.24
AGRITECH, EQ, 21-Jun-2019, 50.10, 53.00, 53.00, 50.00, 51.00, 51.20, 51.41, 2366, 1.22, 103, 1835, 77.56
AGROPHOS, BE, 21-Jun-2019, 85.85, 85.50, 86.00, 82.00, 86.00, 86.00, 86.00, 69036, 59.37, 127, -, -
AHIMSA, SM, 21-Jun-2019, 30.60, 31.05, 31.05, 31.05, 31.05, 31.05, 31.05, 12000, 3.73, 2, 12000, 100.00
AHLADA, SM, 21-Jun-2019, 82.00, 73.00, 73.00, 71.05, 71.05, 71.05, 72.03, 2000, 1.44, 2, 2000, 100.00
AHLEAST, EQ, 21-Jun-2019, 184.75, 178.55, 193.95, 178.55, 187.45, 187.45, 188.54, 574, 1.08, 46, 329, 57.32
AHLUCONT, EQ, 21-Jun-2019, 331.35, 329.55, 333.85, 325.60, 331.70, 330.25, 329.43, 2467, 8.13, 223, 1926, 78.07
AHLWEST, EQ, 21-Jun-2019, 339.30, 335.00, 340.00, 335.00, 336.50, 337.05, 336.76, 310, 1.04, 12, 173, 55.81
AIAENG, EQ, 21-Jun-2019, 1682.05, 1724.65, 1777.00, 1698.95, 1759.00, 1759.35, 1744.16, 19241, 335.59, 2254, 13128, 68.23
AIFL, BZ, 21-Jun-2019, 3.35, 3.20, 3.20, 3.20, 3.20, 3.20, 3.20, 4130, 0.13, 17, -, -
AIONJSW, EQ, 21-Jun-2019, 16.80, 16.65, 17.90, 16.30, 17.35, 17.05, 17.00, 51021, 8.68, 184, 44453, 87.13
AIRAN, EQ, 21-Jun-2019, 27.45, 27.35, 27.95, 26.45, 27.50, 27.45, 27.22, 4508, 1.23, 32, 4073, 90.35
AIROLAM, SM, 21-Jun-2019, 30.00, 30.05, 30.05, 30.05, 30.05, 30.05, 30.05, 3000, 0.90, 1, 3000, 100.00
AISL, SM, 21-Jun-2019, 41.00, 38.05, 40.00, 36.90, 36.90, 36.90, 37.87, 12000, 4.54, 9, 9600, 80.00
AJANTPHARM, EQ, 21-Jun-2019, 945.75, 940.00, 960.20, 940.00, 955.00, 954.55, 951.28, 210877, 2006.03, 7282, 38885, 18.44
AJMERA, EQ, 21-Jun-2019, 160.65, 163.90, 163.90, 158.45, 159.75, 159.55, 159.88, 16239, 25.96, 658, 8342, 51.37
AJOONI, SM, 21-Jun-2019, 13.75, 14.40, 14.40, 14.40, 14.40, 14.40, 14.40, 4000, 0.58, 1, 4000, 100.00
AKASH, SM, 21-Jun-2019, 57.00, 57.00, 57.00, 56.00, 56.00, 56.00, 56.50, 4000, 2.26, 2, 4000, 100.00
AKSHARCHEM, EQ, 21-Jun-2019, 269.50, 269.00, 275.00, 263.05, 266.50, 267.15, 267.72, 2560, 6.85, 174, 1762, 68.83
AKSHOPTFBR, EQ, 21-Jun-2019, 11.00, 11.25, 11.75, 10.85, 11.15, 11.10, 11.23, 296447, 33.29, 1042, 174853, 58.98
AKZOINDIA, EQ, 21-Jun-2019, 1767.15, 1759.00, 1778.60, 1711.00, 1718.00, 1725.15, 1740.76, 22010, 383.14, 905, 19680, 89.41
ALANKIT, EQ, 21-Jun-2019, 30.95, 31.40, 31.40, 30.55, 30.70, 31.00, 30.88, 341221, 105.38, 741, 119435, 35.00
ALBERTDAVD, EQ, 21-Jun-2019, 398.30, 395.35, 412.85, 394.00, 402.00, 401.60, 403.47, 937, 3.78, 63, 764, 81.54
ALBK, EQ, 21-Jun-2019, 40.70, 40.70, 41.80, 40.25, 41.20, 41.15, 41.02, 3229978, 1324.94, 7865, 507079, 15.70
ALCHEM, BE, 21-Jun-2019, 1.25, 1.20, 1.25, 1.20, 1.20, 1.20, 1.20, 9027, 0.11, 24, -, -
ALEMBICLTD, EQ, 21-Jun-2019, 40.85, 40.85, 41.65, 40.80, 41.50, 41.50, 41.36, 127601, 52.78, 635, 85357, 66.89
ALICON, EQ, 21-Jun-2019, 558.15, 551.00, 578.80, 545.00, 560.10, 562.45, 562.24, 1954, 10.99, 212, 820, 41.97
ALKALI, EQ, 21-Jun-2019, 39.65, 40.35, 40.35, 39.10, 40.00, 39.45, 39.52, 1127, 0.45, 43, 998, 88.55
ALKEM, EQ, 21-Jun-2019, 1710.95, 1712.50, 1790.70, 1688.75, 1789.95, 1760.45, 1726.32, 52410, 904.76, 9787, 35128, 67.03
ALKYLAMINE, EQ, 21-Jun-2019, 839.85, 840.00, 840.00, 809.00, 820.00, 820.00, 814.82, 2203, 17.95, 162, 1767, 80.21
ALLCARGO, EQ, 21-Jun-2019, 100.85, 101.35, 103.95, 100.00, 102.40, 102.45, 102.16, 63130, 64.49, 1169, 35096, 55.59
ALLSEC, BE, 21-Jun-2019, 315.90, 316.00, 317.00, 316.00, 316.95, 316.95, 316.58, 3382, 10.71, 25, -, -
ALMONDZ, EQ, 21-Jun-2019, 16.70, 17.00, 17.20, 16.75, 16.75, 16.80, 16.84, 2073, 0.35, 29, 1652, 79.69
ALOKTEXT, BE, 21-Jun-2019, 3.65, 3.65, 3.70, 3.50, 3.65, 3.60, 3.57, 4391985, 156.62, 1319, -, -
ALPA, EQ, 21-Jun-2019, 18.35, 18.50, 18.70, 17.65, 18.50, 18.40, 18.27, 8832, 1.61, 99, 5631, 63.76
ALPHAGEO, EQ, 21-Jun-2019, 408.95, 409.00, 452.00, 409.00, 427.50, 431.00, 435.87, 8105, 35.33, 982, 2853, 35.20
ALPSINDUS, BE, 21-Jun-2019, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 330, 0.00, 3, -, -
AMARAJABAT, EQ, 21-Jun-2019, 610.65, 614.45, 615.00, 596.00, 607.55, 607.50, 606.08, 611760, 3707.75, 15964, 132437, 21.65
AMBER, EQ, 21-Jun-2019, 817.65, 817.65, 825.00, 807.70, 821.00, 820.60, 816.50, 5534, 45.19, 471, 4228, 76.40
AMBIKCO, EQ, 21-Jun-2019, 1068.05, 1075.00, 1075.05, 1055.05, 1070.05, 1069.90, 1067.40, 2119, 22.62, 131, 1690, 79.75
AMBUJACEM, EQ, 21-Jun-2019, 213.70, 213.70, 215.20, 211.90, 213.40, 212.85, 213.38, 4181731, 8923.06, 38853, 2563042, 61.29
AMDIND, EQ, 21-Jun-2019, 17.65, 17.70, 18.00, 17.35, 17.60, 17.60, 17.58, 4710, 0.83, 72, 3909, 82.99
AMJLAND, EQ, 21-Jun-2019, 16.45, 15.60, 17.40, 15.60, 16.50, 16.55, 16.53, 7017, 1.16, 56, 5402, 76.98
AMJUMBO, SM, 21-Jun-2019, 44.50, 42.30, 42.30, 42.30, 42.30, 42.30, 42.30, 2000, 0.85, 1, 2000, 100.00
AMRUTANJAN, EQ, 21-Jun-2019, 302.05, 308.00, 308.00, 297.30, 301.00, 298.70, 300.14, 8320, 24.97, 464, 5212, 62.64
ANANTRAJ, EQ, 21-Jun-2019, 28.90, 28.95, 29.65, 28.45, 29.15, 29.00, 29.18, 153218, 44.71, 1085, 70484, 46.00
ANDHRABANK, EQ, 21-Jun-2019, 23.20, 23.25, 25.00, 22.20, 22.35, 22.55, 22.88, 2031107, 464.70, 5309, 1449262, 71.35
ANDHRACEMT, BE, 21-Jun-2019, 4.00, 4.10, 4.10, 3.90, 4.00, 4.00, 3.99, 37101, 1.48, 66, -, -
ANDHRSUGAR, EQ, 21-Jun-2019, 319.20, 324.35, 331.00, 319.65, 325.00, 324.95, 324.83, 17784, 57.77, 867, 8031, 45.16
ANIKINDS, EQ, 21-Jun-2019, 11.95, 11.40, 12.30, 11.20, 12.20, 12.20, 11.76, 1054, 0.12, 21, 722, 68.50
ANKITMETAL, BE, 21-Jun-2019, 0.40, 0.40, 0.45, 0.35, 0.40, 0.40, 0.42, 47419, 0.20, 29, -, -
ANSALAPI, EQ, 21-Jun-2019, 4.65, 4.70, 4.85, 4.55, 4.85, 4.85, 4.78, 250262, 11.96, 335, 183083, 73.16
ANSALHSG, EQ, 21-Jun-2019, 5.80, 6.20, 6.75, 5.55, 6.45, 6.50, 6.40, 118105, 7.56, 252, 85750, 72.60
ANTGRAPHIC, BE, 21-Jun-2019, 0.95, 0.90, 0.90, 0.90, 0.90, 0.90, 0.90, 12459, 0.11, 26, -, -
ANUP, EQ, 21-Jun-2019, 470.10, 461.00, 475.00, 459.05, 467.00, 466.75, 467.10, 10788, 50.39, 612, 9378, 86.93
APARINDS, EQ, 21-Jun-2019, 590.70, 594.00, 603.00, 584.00, 595.00, 599.65, 595.00, 6882, 40.95, 302, 4597, 66.80
APCL, EQ, 21-Jun-2019, 160.45, 167.90, 168.00, 158.00, 166.20, 165.15, 163.54, 3667, 6.00, 302, 2427, 66.18
APCOTEXIND, EQ, 21-Jun-2019, 559.60, 567.80, 567.80, 557.00, 562.00, 560.55, 561.43, 5716, 32.09, 341, 3855, 67.44
APEX, EQ, 21-Jun-2019, 250.80, 251.30, 254.80, 245.80, 250.00, 249.05, 250.80, 28830, 72.30, 1291, 10616, 36.82
APLAPOLLO, EQ, 21-Jun-2019, 1545.30, 1575.30, 1575.30, 1521.20, 1531.50, 1529.10, 1538.75, 8908, 137.07, 1308, 4507, 50.59
APLLTD, EQ, 21-Jun-2019, 460.65, 466.10, 485.00, 435.15, 479.00, 473.50, 458.96, 163085, 748.50, 7403, 111996, 68.67
APOLLO, EQ, 21-Jun-2019, 118.05, 117.55, 118.00, 114.60, 117.30, 116.60, 116.41, 6460, 7.52, 338, 3627, 56.15
APOLLOHOSP, EQ, 21-Jun-2019, 1374.30, 1373.00, 1385.30, 1343.35, 1347.65, 1348.25, 1360.23, 563852, 7669.66, 29229, 242191, 42.95
APOLLOTYRE, EQ, 21-Jun-2019, 195.35, 194.50, 200.00, 192.40, 197.55, 197.55, 197.27, 1872101, 3693.16, 21625, 421450, 22.51
APOLSINHOT, EQ, 21-Jun-2019, 853.15, 867.95, 882.00, 835.20, 850.00, 837.55, 847.24, 2511, 21.27, 106, 2172, 86.50
APTECHT, EQ, 21-Jun-2019, 141.60, 141.50, 141.50, 136.05, 137.30, 137.35, 138.40, 128731, 178.16, 2986, 47686, 37.04
ARCHIDPLY, EQ, 21-Jun-2019, 33.70, 33.05, 34.35, 32.40, 33.60, 33.05, 33.27, 6300, 2.10, 112, 3661, 58.11
ARCHIES, EQ, 21-Jun-2019, 20.95, 20.50, 21.55, 19.40, 20.40, 20.80, 20.35, 50136, 10.20, 340, 37702, 75.20
ARCOTECH, BE, 21-Jun-2019, 2.75, 2.65, 2.65, 2.65, 2.65, 2.65, 2.65, 12227, 0.32, 28, -, -
ARIES, EQ, 21-Jun-2019, 59.95, 62.65, 62.70, 59.00, 60.60, 60.35, 60.60, 15520, 9.41, 295, 9751, 62.83
ARIHANT, EQ, 21-Jun-2019, 23.00, 22.00, 23.25, 21.05, 22.40, 22.40, 22.30, 1434, 0.32, 39, 297, 20.71
ARIHANTSUP, BE, 21-Jun-2019, 56.70, 56.00, 59.00, 54.40, 58.45, 57.80, 58.47, 16946, 9.91, 73, -, -
ARMANFIN, EQ, 21-Jun-2019, 398.65, 398.10, 405.90, 398.10, 401.00, 404.50, 404.53, 4000, 16.18, 104, 3581, 89.53
AROGRANITE, EQ, 21-Jun-2019, 45.10, 45.10, 47.50, 42.15, 44.30, 44.35, 44.03, 10790, 4.75, 171, 6546, 60.67
ARROWGREEN, EQ, 21-Jun-2019, 48.45, 48.60, 51.10, 48.55, 49.00, 49.30, 49.51, 5225, 2.59, 146, 4296, 82.22
ARROWTEX, EQ, 21-Jun-2019, 12.90, 13.75, 13.75, 11.55, 12.60, 12.45, 12.22, 24841, 3.03, 238, 16155, 65.03
