SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 20-Jun-2019, 34.80, 34.25, 35.90, 33.55, 35.90, 35.55, 34.61, 20052, 6.94, 291, 14324, 71.43
21STCENMGM, EQ, 20-Jun-2019, 18.20, 18.20, 18.20, 17.85, 17.85, 17.85, 17.87, 938, 0.17, 14, 936, 99.79
3IINFOTECH, EQ, 20-Jun-2019, 3.25, 3.30, 3.30, 3.20, 3.25, 3.25, 3.26, 1674696, 54.52, 505, 1017414, 60.75
3MINDIA, EQ, 20-Jun-2019, 22021.45, 22042.60, 22698.00, 22009.95, 22600.00, 22654.65, 22405.92, 743, 166.48, 457, 441, 59.35
3PLAND, BE, 20-Jun-2019, 8.90, 9.25, 9.25, 8.50, 8.50, 8.50, 9.01, 240, 0.02, 3, -, -
5PAISA, EQ, 20-Jun-2019, 200.80, 198.25, 210.00, 196.00, 210.00, 208.65, 203.06, 5614, 11.40, 420, 3526, 62.81
63MOONS, EQ, 20-Jun-2019, 112.10, 111.10, 114.70, 106.60, 112.40, 111.40, 110.77, 119746, 132.65, 2613, 44370, 37.05
8KMILES, EQ, 20-Jun-2019, 69.75, 67.50, 73.20, 66.30, 73.20, 73.20, 70.13, 213349, 149.61, 2296, 74393, 34.87
A2ZINFRA, EQ, 20-Jun-2019, 13.50, 13.50, 13.55, 11.25, 13.10, 13.10, 12.76, 293994, 37.51, 1147, 162222, 55.18
AARON, SM, 20-Jun-2019, 44.00, 46.00, 46.00, 46.00, 46.00, 46.00, 46.00, 3000, 1.38, 1, 3000, 100.00
AARTIDRUGS, EQ, 20-Jun-2019, 527.75, 529.10, 529.10, 520.00, 525.95, 524.40, 523.51, 6568, 34.38, 567, 3741, 56.96
AARTIIND, EQ, 20-Jun-2019, 1715.70, 1726.90, 1727.40, 1700.85, 1725.80, 1724.00, 1715.08, 148803, 2552.09, 5941, 136091, 91.46
AARVEEDEN, EQ, 20-Jun-2019, 21.20, 21.15, 22.00, 20.35, 21.75, 21.55, 21.42, 4374, 0.94, 79, 3320, 75.90
AAVAS, EQ, 20-Jun-2019, 1470.00, 1468.00, 1500.00, 1425.90, 1485.00, 1493.05, 1465.55, 9433, 138.25, 2750, 3905, 41.40
ABAN, BE, 20-Jun-2019, 35.40, 33.65, 33.65, 33.65, 33.65, 33.65, 33.65, 50980, 17.15, 391, -, -
ABB, EQ, 20-Jun-2019, 1554.45, 1555.90, 1576.30, 1535.00, 1562.10, 1566.95, 1558.51, 38376, 598.09, 3597, 9248, 24.10
ABBOTINDIA, EQ, 20-Jun-2019, 8461.25, 8472.30, 8472.30, 8272.05, 8470.00, 8419.95, 8360.13, 4777, 399.36, 1970, 2394, 50.12
ABCAPITAL, EQ, 20-Jun-2019, 89.80, 90.00, 94.00, 88.65, 92.35, 92.15, 90.97, 1567209, 1425.73, 18337, 737203, 47.04
ABFRL, EQ, 20-Jun-2019, 197.80, 192.00, 205.90, 192.00, 204.90, 204.75, 201.32, 867581, 1746.58, 7234, 680880, 78.48
ABSLNN50ET, EQ, 20-Jun-2019, 265.00, 267.35, 267.35, 267.00, 267.00, 267.00, 267.34, 51, 0.14, 2, 51, 100.00
ACC, EQ, 20-Jun-2019, 1493.60, 1493.25, 1546.50, 1470.10, 1538.95, 1539.75, 1508.85, 719154, 10850.96, 29477, 113209, 15.74
ACCELYA, EQ, 20-Jun-2019, 877.20, 877.20, 885.00, 873.00, 876.00, 880.60, 875.81, 2581, 22.60, 314, 1687, 65.36
ACCURACY, SM, 20-Jun-2019, 62.80, 62.80, 62.80, 62.80, 62.80, 62.80, 62.80, 1600, 1.00, 1, 1600, 100.00
ACE, EQ, 20-Jun-2019, 97.40, 98.50, 98.50, 95.00, 95.00, 95.40, 96.18, 246931, 237.50, 4203, 127248, 51.53
ADANIENT, EQ, 20-Jun-2019, 142.80, 142.30, 149.70, 140.35, 148.50, 148.45, 145.66, 4477064, 6521.09, 27337, 670439, 14.97
