SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 14-Jun-2019, 36.55, 36.50, 36.95, 35.80, 36.00, 36.10, 36.18, 25090, 9.08, 300, 16982, 67.68
21STCENMGM, EQ, 14-Jun-2019, 17.60, 17.60, 17.60, 17.50, 17.50, 17.50, 17.55, 158, 0.03, 5, 158, 100.00
3IINFOTECH, EQ, 14-Jun-2019, 3.45, 3.40, 3.50, 3.35, 3.40, 3.35, 3.41, 1078102, 36.72, 527, 580852, 53.88
3MINDIA, EQ, 14-Jun-2019, 22365.90, 22500.00, 22600.00, 22305.00, 22448.00, 22462.55, 22465.41, 522, 117.27, 267, 297, 56.90
3PLAND, BE, 14-Jun-2019, 9.60, 9.15, 9.35, 9.15, 9.20, 9.20, 9.17, 1754, 0.16, 10, -, -
5PAISA, EQ, 14-Jun-2019, 210.65, 211.80, 214.40, 204.60, 209.00, 208.10, 208.10, 1389, 2.89, 146, 891, 64.15
63MOONS, EQ, 14-Jun-2019, 123.95, 124.50, 125.00, 119.00, 123.20, 122.55, 121.64, 188941, 229.83, 2539, 68470, 36.24
8KMILES, EQ, 14-Jun-2019, 88.85, 88.85, 92.85, 82.00, 83.00, 86.15, 88.21, 142136, 125.38, 2176, 65659, 46.19
A2ZINFRA, EQ, 14-Jun-2019, 14.70, 14.75, 15.50, 14.55, 15.15, 15.15, 15.03, 173639, 26.09, 768, 125928, 72.52
AARON, SM, 14-Jun-2019, 47.50, 47.50, 47.50, 47.50, 47.50, 47.50, 47.50, 3000, 1.43, 1, 3000, 100.00
AARTIDRUGS, EQ, 14-Jun-2019, 550.05, 546.25, 547.20, 518.30, 533.00, 532.55, 530.96, 16802, 89.21, 1300, 8216, 48.90
AARTIIND, EQ, 14-Jun-2019, 1730.35, 1731.00, 1758.00, 1715.00, 1750.00, 1751.65, 1742.76, 62152, 1083.16, 4507, 31183, 50.17
AARVEEDEN, EQ, 14-Jun-2019, 22.90, 22.50, 22.95, 22.10, 22.35, 22.55, 22.22, 1418, 0.32, 39, 1218, 85.90
AARVI, SM, 14-Jun-2019, 33.25, 33.70, 34.90, 33.70, 34.90, 34.90, 34.30, 4000, 1.37, 2, 4000, 100.00
AAVAS, EQ, 14-Jun-2019, 1440.40, 1459.00, 1468.20, 1443.15, 1459.00, 1456.75, 1457.33, 58814, 857.12, 5900, 46137, 78.45
ABAN, BE, 14-Jun-2019, 43.05, 43.00, 43.05, 40.90, 41.50, 41.25, 41.58, 50378, 20.95, 707, -, -
ABB, EQ, 14-Jun-2019, 1508.85, 1513.00, 1544.35, 1502.00, 1504.50, 1511.45, 1527.05, 110612, 1689.10, 8401, 31448, 28.43
ABBOTINDIA, EQ, 14-Jun-2019, 8560.65, 8552.00, 8638.30, 8552.00, 8600.00, 8606.70, 8596.69, 2979, 256.10, 639, 2125, 71.33
ABCAPITAL, EQ, 14-Jun-2019, 95.00, 95.00, 95.40, 93.75, 93.80, 94.00, 94.39, 739792, 698.29, 6984, 436933, 59.06
ABFRL, EQ, 14-Jun-2019, 213.90, 212.00, 216.00, 208.30, 209.00, 210.40, 213.01, 177256, 377.58, 5223, 111970, 63.17
ABMINTLTD, BE, 14-Jun-2019, 13.45, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 138, 0.02, 1, -, -
ABSLNN50ET, EQ, 14-Jun-2019, 272.00, 271.90, 272.78, 271.00, 271.00, 271.00, 271.73, 16, 0.04, 6, 9, 56.25
ACC, EQ, 14-Jun-2019, 1583.15, 1585.00, 1589.55, 1537.90, 1542.00, 1549.00, 1564.27, 321569, 5030.20, 14371, 95842, 29.80
ACCELYA, EQ, 14-Jun-2019, 891.85, 891.85, 893.80, 884.55, 884.60, 884.95, 887.14, 2078, 18.43, 229, 1656, 79.69
ACCORD, SM, 14-Jun-2019, 29.00, 28.00, 28.00, 28.00, 28.00, 28.00, 28.00, 2000, 0.56, 1, 2000, 100.00
ACE, EQ, 14-Jun-2019, 103.80, 104.00, 104.95, 100.50, 100.50, 100.55, 101.79, 123147, 125.35, 2363, 40844, 33.17
