SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 19-Jun-2019, 35.90, 37.00, 37.00, 34.55, 35.25, 34.80, 35.38, 27398, 9.69, 296, 20199, 73.72
21STCENMGM, EQ, 19-Jun-2019, 18.20, 18.20, 18.20, 18.00, 18.20, 18.20, 18.20, 240, 0.04, 6, 238, 99.17
3IINFOTECH, EQ, 19-Jun-2019, 3.30, 3.30, 3.35, 3.25, 3.25, 3.25, 3.29, 840286, 27.61, 444, 471002, 56.05
3MINDIA, EQ, 19-Jun-2019, 22030.85, 22150.75, 22420.05, 22000.00, 22042.60, 22021.45, 22125.65, 617, 136.52, 326, 347, 56.24
3PLAND, BE, 19-Jun-2019, 8.90, 8.50, 9.30, 8.50, 9.30, 8.90, 8.60, 2160, 0.19, 12, -, -
5PAISA, EQ, 19-Jun-2019, 201.45, 208.00, 208.00, 194.55, 198.30, 200.80, 200.29, 5681, 11.38, 302, 3918, 68.97
63MOONS, EQ, 19-Jun-2019, 116.30, 115.00, 119.70, 110.55, 112.00, 112.10, 114.68, 113792, 130.49, 1993, 51649, 45.39
8KMILES, EQ, 19-Jun-2019, 74.15, 74.00, 78.00, 69.20, 70.00, 69.75, 72.57, 119121, 86.44, 1964, 47050, 39.50
A2ZINFRA, EQ, 19-Jun-2019, 14.35, 14.75, 14.80, 12.60, 13.50, 13.50, 13.80, 219397, 30.29, 824, 160723, 73.26
AAKASH, SM, 19-Jun-2019, 23.20, 22.00, 22.00, 22.00, 22.00, 22.00, 22.00, 2000, 0.44, 1, 2000, 100.00
AARON, SM, 19-Jun-2019, 45.90, 44.00, 44.00, 44.00, 44.00, 44.00, 44.00, 3000, 1.32, 1, 3000, 100.00
AARTIDRUGS, EQ, 19-Jun-2019, 524.85, 525.10, 532.40, 518.00, 530.00, 527.75, 527.33, 7775, 41.00, 616, 4337, 55.78
AARTIIND, EQ, 19-Jun-2019, 1730.25, 1739.95, 1753.10, 1714.10, 1720.00, 1715.70, 1732.13, 79810, 1382.41, 4779, 63577, 79.66
AARVEEDEN, EQ, 19-Jun-2019, 21.70, 21.50, 22.45, 20.05, 21.40, 21.20, 21.43, 9989, 2.14, 163, 7801, 78.10
AARVI, SM, 19-Jun-2019, 34.90, 34.50, 34.50, 34.05, 34.05, 34.05, 34.28, 4000, 1.37, 2, 4000, 100.00
AAVAS, EQ, 19-Jun-2019, 1499.75, 1505.00, 1523.95, 1452.00, 1456.00, 1470.00, 1486.18, 15031, 223.39, 2500, 6045, 40.22
ABAN, BE, 19-Jun-2019, 37.25, 35.40, 35.40, 35.40, 35.40, 35.40, 35.40, 24004, 8.50, 256, -, -
ABB, EQ, 19-Jun-2019, 1539.60, 1543.00, 1563.95, 1540.00, 1558.00, 1554.45, 1551.87, 59634, 925.44, 4851, 23487, 39.39
ABBOTINDIA, EQ, 19-Jun-2019, 8519.70, 8519.70, 8575.00, 8450.00, 8494.00, 8461.25, 8492.99, 3892, 330.55, 1751, 3274, 84.12
