SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
INEOSSTYRO, EQ, 12-Jun-2019, 487.20, 489.85, 491.35, 481.05, 481.05, 484.10, 484.72, 858, 4.16, 91, 529, 61.66
INFIBEAM, EQ, 12-Jun-2019, 47.30, 47.35, 47.75, 45.50, 45.95, 46.10, 46.81, 5950356, 2785.63, 9307, 904224, 15.20
INFOBEAN, SM, 12-Jun-2019, 69.00, 69.05, 69.05, 68.00, 69.00, 69.00, 68.99, 132000, 91.06, 6, 130000, 98.48
INFRABEES, EQ, 12-Jun-2019, 342.67, 341.56, 342.50, 339.02, 341.48, 341.48, 340.63, 277, 0.94, 25, 215, 77.62
INFRATEL, EQ, 12-Jun-2019, 283.15, 282.00, 282.40, 272.05, 274.15, 273.25, 276.17, 2151888, 5942.79, 26483, 636972, 29.60
INFY, EQ, 12-Jun-2019, 754.90, 756.95, 756.95, 745.00, 753.00, 753.80, 750.69, 8738342, 65598.16, 169526, 5682249, 65.03
INGERRAND, EQ, 12-Jun-2019, 626.35, 628.20, 628.95, 623.00, 625.00, 625.00, 625.25, 3505, 21.91, 218, 2934, 83.71
INNOVANA, SM, 12-Jun-2019, 260.50, 255.00, 255.00, 247.50, 253.80, 253.80, 249.29, 3200, 7.98, 8, 3200, 100.00
INOXLEISUR, EQ, 12-Jun-2019, 328.15, 328.95, 335.25, 315.00, 316.05, 317.00, 324.91, 335296, 1089.40, 18998, 169568, 50.57
INOXWIND, EQ, 12-Jun-2019, 68.55, 67.60, 70.25, 66.85, 69.25, 69.35, 68.54, 48926, 33.53, 498, 25955, 53.05
INSECTICID, EQ, 12-Jun-2019, 690.55, 690.05, 701.45, 683.25, 684.10, 687.50, 688.74, 6625, 45.63, 845, 2693, 40.65
INSPIRISYS, EQ, 12-Jun-2019, 48.50, 48.55, 50.00, 48.50, 49.50, 49.60, 49.76, 3070, 1.53, 52, 2138, 69.64
INTEGRA, BE, 12-Jun-2019, 0.65, 0.65, 0.65, 0.65, 0.65, 0.65, 0.65, 10, 0.00, 1, -, -
