SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 11-Jun-2019, 37.80, 38.00, 38.00, 36.90, 37.05, 37.15, 37.33, 30837, 11.51, 426, 16381, 53.12
21STCENMGM, EQ, 11-Jun-2019, 17.65, 17.65, 17.95, 17.50, 17.50, 17.50, 17.59, 567, 0.10, 11, 567, 100.00
3IINFOTECH, EQ, 11-Jun-2019, 3.30, 3.30, 3.90, 3.30, 3.65, 3.60, 3.60, 6488464, 233.73, 1908, 1659457, 25.58
3MINDIA, EQ, 11-Jun-2019, 22608.20, 22800.00, 22800.00, 22450.00, 22484.00, 22490.10, 22575.32, 1308, 295.29, 405, 810, 61.93
3PLAND, BE, 11-Jun-2019, 9.95, 9.95, 9.95, 9.50, 9.50, 9.50, 9.79, 385, 0.04, 3, -, -
5PAISA, EQ, 11-Jun-2019, 210.50, 220.90, 220.90, 210.15, 211.50, 213.45, 213.87, 7177, 15.35, 406, 3466, 48.29
63MOONS, EQ, 11-Jun-2019, 111.00, 109.05, 116.55, 105.45, 116.55, 116.55, 112.24, 208470, 233.98, 1984, 95022, 45.58
8KMILES, EQ, 11-Jun-2019, 93.00, 93.05, 93.05, 87.90, 89.30, 89.25, 89.42, 109601, 98.00, 1710, 60760, 55.44
A2ZINFRA, EQ, 11-Jun-2019, 15.25, 15.20, 15.50, 15.00, 15.15, 15.10, 15.15, 110581, 16.75, 384, 69362, 62.73
AARON, SM, 11-Jun-2019, 47.50, 47.50, 47.50, 47.15, 47.15, 47.15, 47.33, 6000, 2.84, 2, 6000, 100.00
AARTIDRUGS, EQ, 11-Jun-2019, 543.50, 546.30, 554.45, 543.45, 551.00, 550.35, 550.17, 5922, 32.58, 554, 3527, 59.56
AARTIIND, EQ, 11-Jun-2019, 1744.60, 1756.90, 1763.65, 1725.00, 1727.80, 1726.90, 1735.17, 40272, 698.79, 4532, 22860, 56.76
AARVEEDEN, EQ, 11-Jun-2019, 22.75, 22.65, 23.15, 22.00, 22.70, 22.45, 22.46, 3502, 0.79, 107, 3018, 86.18
AARVI, SM, 11-Jun-2019, 35.00, 35.00, 35.00, 35.00, 35.00, 35.00, 35.00, 2000, 0.70, 1, 2000, 100.00
AAVAS, EQ, 11-Jun-2019, 1393.55, 1405.00, 1422.00, 1392.05, 1415.00, 1414.70, 1408.46, 81380, 1146.20, 9069, 69263, 85.11
ABAN, BE, 11-Jun-2019, 45.30, 44.20, 45.30, 43.20, 43.45, 43.60, 43.87, 50884, 22.32, 725, -, -
ABB, EQ, 11-Jun-2019, 1563.40, 1560.00, 1583.75, 1540.60, 1546.15, 1546.55, 1556.28, 101534, 1580.15, 9566, 62486, 61.54
ABBOTINDIA, EQ, 11-Jun-2019, 8282.45, 8280.00, 8655.05, 8245.60, 8650.00, 8588.45, 8541.17, 17844, 1524.09, 3824, 8479, 47.52
ABCAPITAL, EQ, 11-Jun-2019, 97.10, 96.60, 97.70, 96.20, 96.80, 97.00, 97.08, 874061, 848.55, 7579, 334676, 38.29
ABFRL, EQ, 11-Jun-2019, 220.50, 218.00, 221.65, 218.00, 219.20, 220.35, 219.72, 189969, 417.39, 4993, 100323, 52.81
ABSLNN50ET, EQ, 11-Jun-2019, 275.03, 273.99, 276.59, 273.99, 276.59, 276.59, 275.64, 8, 0.02, 3, 6, 75.00
ACC, EQ, 11-Jun-2019, 1589.40, 1592.35, 1601.00, 1584.00, 1595.00, 1589.65, 1591.24, 472845, 7524.09, 17813, 134543, 28.45
ACCELYA, EQ, 11-Jun-2019, 889.25, 894.95, 900.00, 883.10, 900.00, 895.85, 889.38, 1709, 15.20, 202, 1303, 76.24
ACCURACY, SM, 11-Jun-2019, 60.75, 59.90, 59.90, 59.90, 59.90, 59.90, 59.90, 1600, 0.96, 1, 1600, 100.00
ACE, EQ, 11-Jun-2019, 100.35, 100.35, 102.00, 97.45, 100.95, 100.50, 99.52, 146286, 145.58, 3470, 65913, 45.06
ACEINTEG, SM, 11-Jun-2019, 29.80, 28.35, 28.35, 28.35, 28.35, 28.35, 28.35, 3000, 0.85, 1, 3000, 100.00
ADANIENT, EQ, 11-Jun-2019, 149.95, 149.50, 154.25, 148.35, 153.80, 153.60, 151.70, 3413094, 5177.78, 20745, 484091, 14.18
ADANIGAS, EQ, 11-Jun-2019, 170.65, 171.60, 171.70, 165.70, 166.00, 166.30, 167.32, 461658, 772.42, 4846, 204859, 44.37
ADANIGREEN, EQ, 11-Jun-2019, 42.90, 42.90, 43.15, 42.00, 42.50, 42.55, 42.61, 373551, 159.18, 1697, 178980, 47.91
ADANIPORTS, EQ, 11-Jun-2019, 425.75, 424.70, 427.80, 423.15, 425.75, 426.30, 425.79, 1707108, 7268.73, 24334, 586294, 34.34
ADANIPOWER, EQ, 11-Jun-2019, 47.35, 47.75, 48.70, 46.60, 48.00, 48.25, 47.55, 7777356, 3698.31, 17223, 1216896, 15.65
ADANITRANS, EQ, 11-Jun-2019, 224.95, 226.00, 230.50, 224.75, 229.00, 228.50, 228.59, 91151, 208.36, 2623, 67041, 73.55
ADFFOODS, EQ, 11-Jun-2019, 296.55, 298.00, 303.85, 293.05, 298.00, 298.10, 299.78, 98326, 294.76, 2648, 45830, 46.61
ADHUNIK, BE, 11-Jun-2019, 1.70, 1.65, 1.70, 1.65, 1.65, 1.65, 1.67, 32265, 0.54, 35, -, -
ADHUNIKIND, EQ, 11-Jun-2019, 83.60, 84.45, 84.95, 83.50, 84.15, 83.85, 83.92, 12902, 10.83, 119, 11588, 89.82
ADLABS, EQ, 11-Jun-2019, 6.05, 6.35, 6.35, 5.85, 6.15, 6.15, 6.04, 171603, 10.37, 435, 99178, 57.80
ADORWELD, EQ, 11-Jun-2019, 347.00, 345.60, 348.40, 343.00, 344.80, 345.35, 344.69, 1951, 6.72, 139, 893, 45.77
ADROITINFO, BE, 11-Jun-2019, 13.00, 12.95, 12.95, 12.35, 12.35, 12.35, 12.38, 1051, 0.13, 13, -, -
ADSL, EQ, 11-Jun-2019, 15.80, 15.35, 16.00, 14.90, 14.90, 15.05, 15.39, 30799, 4.74, 96, 19696, 63.95
ADVANIHOTR, EQ, 11-Jun-2019, 64.20, 65.00, 65.00, 62.25, 62.60, 63.35, 63.25, 5361, 3.39, 95, 2006, 37.42
ADVENZYMES, EQ, 11-Jun-2019, 194.80, 195.50, 202.40, 194.85, 197.10, 198.85, 199.12, 117137, 233.24, 2377, 33801, 28.86
AEGISCHEM, EQ, 11-Jun-2019, 220.90, 221.35, 224.35, 217.40, 221.10, 222.35, 222.44, 55446, 123.34, 3697, 34854, 62.86
AGARIND, EQ, 11-Jun-2019, 142.00, 142.65, 146.40, 140.60, 143.00, 141.95, 143.43, 1388, 1.99, 117, 822, 59.22
AGCNET, EQ, 11-Jun-2019, 110.00, 109.85, 114.00, 106.70, 113.50, 111.55, 110.38, 3572, 3.94, 68, 2887, 80.82
AGLSL, EQ, 11-Jun-2019, 55.10, 58.30, 58.35, 55.10, 55.10, 55.50, 55.56, 1201, 0.67, 18, 1135, 94.50
AGRITECH, EQ, 11-Jun-2019, 53.25, 58.00, 58.00, 53.30, 54.00, 54.30, 54.24, 9229, 5.01, 381, 6152, 66.66
AGROPHOS, BE, 11-Jun-2019, 80.00, 80.60, 82.00, 80.00, 82.00, 82.00, 81.49, 56060, 45.68, 74, -, -
AHIMSA, SM, 11-Jun-2019, 30.35, 29.95, 29.95, 29.95, 29.95, 29.95, 29.95, 6000, 1.80, 1, 6000, 100.00
AHLEAST, EQ, 11-Jun-2019, 195.15, 199.85, 199.85, 193.30, 193.55, 193.55, 194.16, 720, 1.40, 30, 405, 56.25
AHLUCONT, EQ, 11-Jun-2019, 339.05, 339.10, 343.00, 330.10, 330.10, 331.70, 333.84, 2020, 6.74, 282, 1091, 54.01
AHLWEST, EQ, 11-Jun-2019, 346.85, 346.85, 346.85, 335.20, 339.00, 339.00, 337.33, 789, 2.66, 38, 435, 55.13
AIAENG, EQ, 11-Jun-2019, 1842.10, 1840.00, 1850.00, 1821.00, 1832.00, 1836.90, 1835.69, 16694, 306.45, 781, 13392, 80.22
AIFL, BZ, 11-Jun-2019, 4.75, 4.55, 4.55, 4.55, 4.55, 4.55, 4.55, 4839, 0.22, 20, -, -
AIONJSW, EQ, 11-Jun-2019, 20.20, 20.00, 20.60, 18.65, 19.50, 19.25, 20.12, 168618, 33.93, 264, 152920, 90.69
AIRAN, EQ, 11-Jun-2019, 29.90, 30.30, 31.00, 29.10, 29.10, 29.35, 29.41, 17977, 5.29, 57, 17246, 95.93
AISL, SM, 11-Jun-2019, 59.50, 58.60, 58.60, 58.60, 58.60, 58.60, 58.60, 1200, 0.70, 1, 1200, 100.00
AJANTPHARM, EQ, 11-Jun-2019, 1019.65, 1024.80, 1024.80, 984.50, 994.00, 996.55, 993.50, 472659, 4695.88, 20854, 138425, 29.29
AJMERA, EQ, 11-Jun-2019, 175.30, 176.25, 176.25, 171.60, 172.00, 172.45, 173.26, 28920, 50.11, 624, 14822, 51.25
AJOONI, SM, 11-Jun-2019, 16.85, 16.05, 16.05, 16.05, 16.05, 16.05, 16.05, 4000, 0.64, 1, 4000, 100.00
AKSHARCHEM, EQ, 11-Jun-2019, 298.70, 304.00, 310.50, 290.00, 300.00, 300.85, 299.63, 2407, 7.21, 198, 1286, 53.43
AKSHOPTFBR, EQ, 11-Jun-2019, 12.55, 12.70, 12.90, 12.35, 12.60, 12.60, 12.54, 433089, 54.32, 1040, 268514, 62.00
AKZOINDIA, EQ, 11-Jun-2019, 1784.70, 1784.70, 1790.00, 1760.00, 1770.00, 1781.90, 1781.88, 1731, 30.84, 355, 1283, 74.12
ALANKIT, EQ, 11-Jun-2019, 34.85, 35.45, 35.90, 34.15, 34.90, 34.95, 35.10, 636714, 223.50, 4311, 117974, 18.53
ALBERTDAVD, EQ, 11-Jun-2019, 418.10, 419.45, 419.45, 405.00, 405.10, 407.35, 410.18, 6629, 27.19, 243, 4632, 69.87
ALBK, EQ, 11-Jun-2019, 40.55, 40.25, 42.20, 40.10, 42.15, 41.95, 41.38, 5054035, 2091.55, 10983, 622886, 12.32
ALCHEM, BE, 11-Jun-2019, 1.65, 1.65, 1.70, 1.60, 1.60, 1.60, 1.68, 3541, 0.06, 21, -, -
ALEMBICLTD, EQ, 11-Jun-2019, 43.55, 43.10, 43.40, 42.30, 42.80, 42.65, 42.68, 30226, 12.90, 386, 20449, 67.65
ALICON, EQ, 11-Jun-2019, 578.50, 580.00, 590.00, 575.00, 589.00, 577.55, 579.56, 1013, 5.87, 98, 885, 87.36
ALKALI, EQ, 11-Jun-2019, 44.50, 44.00, 45.40, 41.65, 44.00, 44.00, 43.26, 6448, 2.79, 181, 3898, 60.45
ALKEM, EQ, 11-Jun-2019, 1796.80, 1782.45, 1816.00, 1782.45, 1810.00, 1811.05, 1809.11, 19200, 347.35, 2000, 13982, 72.82
ALKYLAMINE, EQ, 11-Jun-2019, 826.45, 817.05, 825.95, 814.95, 823.50, 821.35, 821.94, 2004, 16.47, 180, 1714, 85.53
ALLCARGO, EQ, 11-Jun-2019, 105.80, 105.55, 107.45, 105.35, 106.95, 106.85, 106.54, 51173, 54.52, 1101, 26201, 51.20
ALLSEC, BE, 11-Jun-2019, 305.20, 308.00, 313.65, 308.00, 311.30, 311.30, 310.96, 14814, 46.07, 64, -, -
ALMONDZ, EQ, 11-Jun-2019, 23.75, 24.25, 25.90, 22.30, 23.50, 23.90, 24.56, 90589, 22.25, 660, 43796, 48.35
